0.000,0.050,0.100,0.150,0.200,0.250,0.300,0.350,0.400,0.450,0.500,0.550,0.600,0.650,0.700,0.750,0.800,0.850,0.900,0.950,1.000,1.050,1.100,1.150,1.200,1.250,1.300,1.350,1.400,1.450,1.500,1.550,1.600,1.650,1.700,1.750,1.800,1.850,1.900,1.950,2.000,2.050,2.100,2.150,2.200,2.250,2.300,2.350,2.400,2.450
0.000,0.870,1.058,1.270,1.459,1.560,1.822,1.880,1.840,1.775,1.686,1.577,1.463,1.227,0.740,0.302,-0.065,-0.291,-0.203,-0.144,-0.063,-0.024,-0.031,0.050,0.140,0.017,0.019,0.023,0.028,0.033,0.031,0.025,0.018,0.012,0.006,0.001,-0.003,-0.006,-0.008,-0.008,-0.006,-0.004,-0.002,0.000,0.001,0.002,0.002,0.001,0.000,0.000
0.000,-0.028,-0.043,-0.061,-0.077,-0.089,-0.094,-0.090,-0.079,-0.059,-0.034,-0.019,-0.015,-0.005,-0.011,0.011,0.064,0.100,0.100,0.100,0.100,-0.006,-0.100,-0.100,-0.100,-0.003,0.004,0.009,0.012,0.010,0.007,0.008,0.010,0.012,0.011,0.008,0.005,0.002,0.000,-0.002,-0.004,-0.005,-0.005,-0.005,-0.003,-0.002,-0.000,0.001,0.001,0.000
1.500,1.591,1.555,1.535,1.508,1.493,1.467,1.449,1.440,1.431,1.438,1.462,1.489,1.491,1.583,1.600,1.600,1.600,1.401,1.400,1.399,1.400,1.600,1.601,1.601,1.462,1.455,1.444,1.440,1.450,1.478,1.507,1.526,1.526,1.506,1.482,1.481,1.484,1.487,1.489,1.490,1.491,1.492,1.493,1.495,1.496,1.498,1.499,1.500,1.500
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
