0.000,0.050,0.100,0.150,0.200,0.250,0.300,0.350,0.400,0.450,0.500,0.550,0.600,0.650,0.700,0.750,0.800,0.850,0.900,0.950,1.000,1.050,1.100,1.150,1.200,1.250,1.300,1.350,1.400,1.450,1.500,1.550,1.600,1.650,1.700,1.750,1.800,1.850,1.900,1.950,2.000,2.050,2.100,2.150,2.200,2.250,2.300,2.350,2.400,2.450,2.500,2.550,2.600,2.650,2.700,2.750,2.800,2.850,2.900,2.950,3.000,3.050,3.100,3.150,3.200,3.250,3.300,3.350,3.400,3.450
0.000,0.156,0.117,0.086,0.066,0.058,0.061,0.075,0.095,0.115,0.128,0.131,0.126,0.116,0.107,0.102,0.104,0.113,0.121,0.118,0.100,0.068,0.029,-0.005,-0.019,-0.002,0.047,0.104,0.137,0.125,0.062,-0.038,-0.144,-0.208,-0.184,-0.053,0.128,0.274,0.300,0.149,-0.171,-0.560,-0.854,-0.867,-0.534,0.052,0.661,1.027,0.945,0.374,-0.506,-1.320,-1.617,-1.182,-0.132,1.095,1.901,1.850,0.907,-0.466,-1.516,-1.572,-0.558,0.949,1.840,1.168,-0.690,-2.000,-2.000,-1.503
0.000,0.204,0.159,0.116,0.079,0.050,0.030,0.019,0.015,0.014,0.011,0.006,0.003,0.007,0.016,0.026,0.039,0.054,0.062,0.061,0.050,0.033,0.015,-0.002,-0.010,-0.003,0.022,0.044,0.049,0.033,0.008,-0.018,-0.038,-0.039,0.008,0.124,0.249,0.333,0.340,0.261,0.100,-0.079,-0.193,-0.103,0.144,0.433,0.586,0.471,0.067,-0.549,-1.143,-1.460,-1.113,-0.160,1.053,1.961,2.000,1.118,-0.459,-1.864,-2.000,-1.048,1.179,2.000,2.000,2.000,1.317,0.149,0.753,0.506
1.500,2.000,2.000,2.000,2.000,1.864,1.821,1.789,1.759,1.725,1.689,1.636,1.587,1.556,1.664,1.643,1.620,1.636,1.650,1.655,1.649,1.632,1.645,1.644,1.637,1.509,1.608,1.693,1.742,1.721,1.628,1.569,1.653,1.630,1.210,1.511,1.796,1.978,1.864,1.666,1.368,1.652,0.759,1.278,2.000,2.000,2.000,2.000,2.000,0.929,1.707,0.160,1.364,2.000,2.000,2.000,2.000,2.000,2.000,0.871,-0.000,1.639,2.000,2.000,2.000,2.000,2.000,2.000,0.923,2.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
